Name,State,Country,Location
Homewood,Alabama,US,"33.47177 , -86.80082"
Hoover,Alabama,US,"33.40539 , -86.81138"
Mountain Brook,Alabama,US,"33.50094 , -86.75221"
Tuscaloosa,Alabama,US,"33.20984 , -87.56917"
Vestavia Hills,Alabama,US,"33.44872 , -86.78777"
Bainbridge Island,Washington,US,"47.62621 , -122.52124"
Burien,Washington,US,"47.47038 , -122.34679"
Des Moines,Washington,US,"47.40177 , -122.32429"
Mercer Island,Washington,US,"47.57065 , -122.22207"
Seattle,Washington,US,"47.60621 , -122.33207"
Shoreline,Washington,US,"47.75565 , -122.34152"
White Center,Washington,US,"47.51732 , -122.35485"
Auburn,Maine,US,"44.09785 , -70.23117"
Augusta,Maine,US,"44.31062 , -69.77949"
Bangor,Maine,US,"44.80118 , -68.77781"
Biddeford,Maine,US,"43.49258 , -70.45338"
Brunswick,Maine,US,"43.91452 , -69.96533"
Lewiston,Maine,US,"44.10035 , -70.21478"
South Portland,Maine,US,"43.64147 , -70.24088"
South Portland,Maine,US,"43.64147 , -70.24088"
Boise,Idaho,US,"43.6135 , -116.20345"
Caldwell,Idaho,US,"43.66294 , -116.68736"
Coeur d'Alene,Idaho,US,"47.67768 , -116.78047"
Idaho Falls,Idaho,US,"43.46658 , -112.03414"
Lewiston,Idaho,US,"46.41655 , -117.01766"
Meridian,Idaho,US,"43.61211 , -116.39151"
Moscow,Idaho,US,"46.73239 , -117.00017"
Nampa,Idaho,US,"43.54072 , -116.56346"
Pocatello,Idaho,US,"42.8713 , -112.44553"
Twin Falls,Idaho,US,"42.56297 , -114.46087"
Atwater,California,US,"37.34772 , -120.60908"
Ceres,California,US,"37.59493 , -120.95771"
Lodi,California,US,"38.1302 , -121.27245"
Los Banos,California,US,"37.05828 , -120.84992"
Manteca,California,US,"37.79743 , -121.21605"
Merced,California,US,"37.30216 , -120.48297"
West Modesto,California,US,"37.61754 , -121.03914"
Stockton,California,US,"37.9577 , -121.29078"
Tracy,California,US,"37.73987 , -121.42618"
Turlock,California,US,"37.49466 , -120.84659"
San Antonio,Texas,US,"29.42412 , -98.49363"
New York City,New York,US,"40.71427 , -74.00597"
New York City,New York,US,"40.71427 , -74.00597"
Los Angeles,California,US,"34.05223 , -118.24368"
Allen,Texas,US,"33.10317 , -96.67055"
Arlington,Texas,US,"32.73569 , -97.10807"
Carrollton,Texas,US,"32.95373 , -96.89028"
Cedar Hill,Texas,US,"32.58847 , -96.95612"
Coppell,Texas,US,"32.95457 , -97.01501"
Dallas,Texas,US,"32.78306 , -96.80667"
DeSoto,Texas,US,"32.58986 , -96.85695"
Duncanville,Texas,US,"32.6518 , -96.90834"
Farmers Branch,Texas,US,"32.92651 , -96.89612"
Flower Mound,Texas,US,"33.01457 , -97.09696"
Frisco,Texas,US,"33.15067 , -96.82361"
Garland,Texas,US,"32.91262 , -96.63888"
Grand Prairie,Texas,US,"32.74596 , -96.99778"
Irving,Texas,US,"32.81402 , -96.94889"
Lancaster,Texas,US,"32.59208 , -96.75611"
Lewisville,Texas,US,"33.04623 , -96.99417"
McKinney,Texas,US,"33.19762 , -96.61527"
Mesquite,Texas,US,"32.7668 , -96.59916"
Plano,Texas,US,"33.01984 , -96.69889"
Richardson,Texas,US,"32.94818 , -96.72972"
